国債金利情報 (令和7年6月),,,,,,,,,,,,,,,(単位 : %)
基準日,1年,2年,3年,4年,5年,6年,7年,8年,9年,10年,15年,20年,25年,30年,40年
R6.8.26,0.251,0.364,0.376,0.425,0.497,0.52,0.594,0.685,0.783,0.91,1.391,1.726,1.952,2.093,2.31
R6.8.27,0.261,0.367,0.377,0.425,0.504,0.521,0.594,0.687,0.783,0.906,1.386,1.716,1.939,2.077,2.296
R6.8.28,0.263,0.38,0.387,0.435,0.512,0.535,0.61,0.701,0.798,0.921,1.395,1.718,1.936,2.073,2.294
R6.8.29,0.253,0.368,0.377,0.426,0.503,0.526,0.6,0.697,0.793,0.917,1.404,1.738,1.956,2.097,2.317
R6.8.30,0.254,0.363,0.378,0.43,0.502,0.526,0.604,0.697,0.793,0.922,1.409,1.742,1.96,2.111,2.343
R6.9.2,0.247,0.37,0.383,0.44,0.518,0.541,0.617,0.712,0.813,0.936,1.423,1.755,1.974,2.124,2.362
R6.9.3,0.257,0.39,0.402,0.46,0.536,0.56,0.634,0.73,0.829,0.952,1.43,1.756,1.971,2.116,2.35
R6.9.4,0.249,0.375,0.389,0.441,0.512,0.53,0.596,0.693,0.794,0.917,1.401,1.729,1.951,2.091,2.324
R6.9.5,0.25,0.375,0.387,0.437,0.507,0.522,0.583,0.679,0.781,0.904,1.387,1.717,1.941,2.07,2.301
R6.9.6,0.262,0.38,0.387,0.432,0.499,0.507,0.563,0.656,0.757,0.88,1.365,1.694,1.92,2.045,2.27
R6.9.9,0.265,0.396,0.408,0.453,0.521,0.537,0.604,0.695,0.796,0.925,1.399,1.726,1.947,2.076,2.299
R6.9.10,0.267,0.396,0.409,0.458,0.528,0.538,0.603,0.695,0.796,0.926,1.403,1.736,1.955,2.09,2.314
R6.9.11,0.258,0.38,0.389,0.428,0.498,0.499,0.561,0.656,0.759,0.886,1.37,1.704,1.935,2.077,2.31
R6.9.12,0.259,0.391,0.399,0.441,0.513,0.514,0.578,0.667,0.772,0.896,1.383,1.708,1.935,2.074,2.314
R6.9.13,0.247,0.392,0.396,0.433,0.503,0.503,0.564,0.648,0.754,0.878,1.358,1.676,1.904,2.045,2.286
R6.9.17,0.241,0.387,0.388,0.424,0.494,0.495,0.552,0.634,0.741,0.863,1.349,1.662,1.884,2.019,2.258
R6.9.18,0.221,0.38,0.384,0.419,0.484,0.491,0.553,0.634,0.741,0.86,1.354,1.677,1.888,2.023,2.258
R6.9.19,0.227,0.389,0.392,0.43,0.498,0.515,0.575,0.658,0.765,0.889,1.391,1.722,1.936,2.082,2.327
R6.9.20,0.228,0.395,0.399,0.44,0.515,0.529,0.591,0.673,0.78,0.898,1.395,1.732,1.955,2.103,2.362
R6.9.24,0.2,0.35,0.356,0.396,0.469,0.477,0.533,0.617,0.724,0.848,1.351,1.695,1.937,2.083,2.341
R6.9.25,0.201,0.355,0.36,0.401,0.473,0.486,0.544,0.625,0.729,0.852,1.34,1.677,1.92,2.061,2.318
R6.9.26,0.192,0.349,0.346,0.399,0.474,0.491,0.554,0.64,0.745,0.872,1.369,1.709,1.947,2.101,2.363
R6.9.27,0.172,0.323,0.323,0.373,0.449,0.462,0.524,0.612,0.721,0.849,1.357,1.708,1.96,2.122,2.381
R6.9.30,0.234,0.394,0.385,0.437,0.508,0.517,0.578,0.661,0.766,0.894,1.375,1.709,1.947,2.092,2.35
R6.10.1,0.225,0.39,0.382,0.435,0.508,0.517,0.573,0.657,0.766,0.894,1.371,1.71,1.944,2.094,2.35
R6.10.2,0.206,0.365,0.365,0.417,0.489,0.491,0.545,0.628,0.732,0.859,1.346,1.687,1.931,2.087,2.346
R6.10.3,0.207,0.365,0.366,0.417,0.489,0.497,0.555,0.638,0.742,0.867,1.35,1.692,1.942,2.1,2.357
R6.10.4,0.208,0.37,0.373,0.428,0.506,0.521,0.58,0.663,0.761,0.886,1.363,1.701,1.942,2.1,2.353
R6.10.7,0.231,0.407,0.412,0.477,0.555,0.565,0.624,0.705,0.805,0.926,1.408,1.743,1.972,2.131,2.385
R6.10.8,0.232,0.402,0.413,0.48,0.554,0.563,0.623,0.706,0.805,0.926,1.41,1.746,1.976,2.126,2.388
R6.10.9,0.233,0.402,0.413,0.484,0.56,0.574,0.633,0.717,0.816,0.936,1.427,1.762,1.996,2.143,2.412
R6.10.10,0.237,0.412,0.418,0.494,0.588,0.596,0.659,0.741,0.84,0.96,1.452,1.788,2.026,2.171,2.451
R6.10.11,0.248,0.412,0.417,0.493,0.579,0.59,0.649,0.728,0.831,0.95,1.436,1.775,2.013,2.154,2.44
R6.10.15,0.263,0.423,0.429,0.506,0.595,0.605,0.672,0.751,0.856,0.976,1.453,1.789,2.02,2.155,2.441
R6.10.16,0.264,0.423,0.428,0.497,0.581,0.59,0.65,0.732,0.832,0.957,1.44,1.775,2.012,2.147,2.428
R6.10.17,0.275,0.434,0.437,0.51,0.59,0.608,0.664,0.746,0.846,0.967,1.441,1.776,2.002,2.13,2.399
R6.10.18,0.282,0.438,0.445,0.515,0.589,0.615,0.674,0.752,0.852,0.972,1.454,1.79,2.01,2.139,2.405
R6.10.21,0.286,0.433,0.439,0.509,0.581,0.6,0.66,0.739,0.838,0.963,1.45,1.79,2.017,2.156,2.424
R6.10.22,0.307,0.454,0.454,0.527,0.6,0.622,0.686,0.766,0.863,0.983,1.467,1.814,2.047,2.188,2.468
R6.10.23,0.309,0.449,0.455,0.524,0.596,0.617,0.681,0.765,0.863,0.983,1.471,1.818,2.053,2.188,2.468
R6.10.24,0.31,0.449,0.455,0.519,0.584,0.598,0.661,0.742,0.841,0.964,1.455,1.802,2.048,2.184,2.46
R6.10.25,0.311,0.449,0.453,0.515,0.58,0.593,0.651,0.731,0.832,0.955,1.447,1.789,2.028,2.159,2.428
R6.10.28,0.315,0.461,0.462,0.525,0.595,0.608,0.671,0.75,0.856,0.981,1.469,1.816,2.054,2.196,2.469
R6.10.29,0.306,0.453,0.459,0.522,0.599,0.608,0.671,0.751,0.858,0.981,1.473,1.812,2.051,2.188,2.473
R6.10.30,0.298,0.443,0.448,0.513,0.585,0.596,0.658,0.735,0.838,0.961,1.462,1.807,2.054,2.201,2.492
